Type,Program,Description
A,libxft-bgra,Renders BGRA glyphs and scaling
,vi,A screen oriented text editor
,vim,An improved version of vi
,rxvt-unicode,A VT102 emulator for the X window system
,sxiv,The simple X image viewer
,zathura,A document viewer
,zathura-pdf-mupdf,Support for PDF and similar documents
,mpv,A terminal media player
,firefox,Free and open-source web browser
,ffmpeg,A video converter
,picom,Compositor for X11
,nitrogen,An X11 background viewer and setter
,lxappearance,A GTK+ theme switcher
A,gtk-theme-arc-gruvbox-git,The arc GTK+ theme with gruvbox
A,lf,A terminal file manager
A,ttf-ms-fonts,Package of microsoft fonts
,dunst,Lightweight notification-daemon
,pulseaudio,A sound system for audio
,pulseaudio-bluetooth,Bluetooth support for pulseaudio
,pulsemixer,A CLI and curses mixer for pulseaudio
,pamixer,Pulseaudio command-line mixer
,mpd,A music player daemon
,ncmpcpp,An ncurses music player daemon client
,mpc,Command-line client for mpd
,sof-firmware,Enables microphone control
,transmission-gtk,A torrent client
,man-db,Utility for reading man pages
,man-pages,Conventions for writing linux man pages
,texinfo,Software documentation system
,xorg,An X11R7 server
,xorg-xinit,An X window system initializer
,xlockmore,Locks the local X display with pw
,xdg-user-dirs,Manage user directories
A,gotop,Terminal based graphical activity monitor
A,sc-im,A curses-based vim-like spreadsheet calculator
,gnome-keyring,Stores secrets/passwords/keys/certs for applications
,ttf-liberation,Package for the liberation mono font
,ttf-dejavu,Package for the dejavu fonts
,noto-fonts,A fonts package
,noto-fonts-emoji,A bunch of emoji fonts
,zsh,The Z shell
,zsh-autosuggestions,Zsh syntax completion
,zsh-syntax-highlighting,Zsh syntax colors
,ueberzug,Allows image previews in file manager
,poppler,PDF rendering library
,ffmpegthumbnailer,Lightweight video thumbnailer for file managers
,imagemagick,Image viewing/manipulation program
,wkhtmltopdf,Utility to convert HTML to PDF and other image files
,bluez,Daemon for bluetooth
,bluez-utils,Utilities for bluetooth
,sysstat,Utility for reporting processor related statistics
,scrot,Command-line screen capture utility
,libnotify,Library for sending desktop notifications
,neofetch,A system info script
,unzip,Extract compressed zip files in a ZIP archive
,xclip,Basically the clipboard
,bat,Concatenate files with syntax highlighting
G,dotfiles,My personal configuration files
G,dwm,The suckless window manager
G,st,The simple terminal
G,dmenu,The dynamic menu
G,dwmblocks,Modular status bar for dwm written in C
